Index,HDI_low,HDI_high,OR.Md.PDNC.vs.PDMCI,HDI_low.1,HDI_high.1,LOOIC,LOOCI.SE
L1,0.799917975957069,1.2446050518544,0.916942982117098,0.698363393531735,1.20399645701808,256.001173639169,8.46390002397681
L3,0.880907499950189,1.11613992529939,0.916612390982511,0.784294441991993,1.06274078150444,254.715530668808,8.61369770422169
L4,0.992297997663915,1.01014330152595,0.984925736058004,0.972768565316301,0.996649981857781,247.084642540321,10.1948858816956
L5,0.653627405609697,1.5189172437547,0.763369125330651,0.448243128027505,1.26427473045179,255.112046754761,8.73253135848348
L6,0.93131670865567,1.08469621253138,0.839164304233795,0.758035993308111,0.91537598950617,232.541051143877,11.8056162917595
z_t1,0.8285636474545,2.00652232272659,0.453058867205665,0.24970476888251,0.779123690052277,239.61258637737,12.0484373157635
z_t2,0.794141028503514,1.78618030905499,0.433515138092142,0.247134356239163,0.708572474370273,236.692270385986,11.4915805175518
z_t3,0.886389132442261,1.87163131471458,0.478435841100511,0.281807636711899,0.774631217884444,236.929204748452,12.026993693943
z_tot,0.762528695397951,1.84247219421115,0.388230201282933,0.218365546487889,0.64430193059552,234.007888336099,12.0632684289458
z_dr,0.773557612254606,1.64785628252959,0.412100998749533,0.237441465650435,0.66369510404331,234.426184357922,11.8573488625309
